"","Index","Number of steady states","Prod_of_AHR","Prod_of_NFIC","Prod_of_FOS","Prod_of_KLF4","Prod_of_FOXF1","Prod_of_JUN","Prod_of_SMAD3","Prod_of_MITF","Prod_of_SMAD4","Prod_of_MAFB","Prod_of_NR3C1","Prod_of_NR2F1","Prod_of_STAT5A","Prod_of_TBX3","Prod_of_TFE3","Prod_of_ETV5","Prod_of_TFAP2A","Deg_of_AHR","Deg_of_NFIC","Deg_of_FOS","Deg_of_KLF4","Deg_of_FOXF1","Deg_of_JUN","Deg_of_SMAD3","Deg_of_MITF","Deg_of_SMAD4","Deg_of_MAFB","Deg_of_NR3C1","Deg_of_NR2F1","Deg_of_STAT5A","Deg_of_TBX3","Deg_of_TFE3","Deg_of_ETV5","Deg_of_TFAP2A","Trd_of_AHRToAHR","Num_of_AHRToAHR","Inh_of_AHRToAHR","Trd_of_NFICToAHR","Num_of_NFICToAHR","Act_of_NFICToAHR","Trd_of_FOSToAHR","Num_of_FOSToAHR","Inh_of_FOSToAHR","Trd_of_NR3C1ToNFIC","Num_of_NR3C1ToNFIC","Act_of_NR3C1ToNFIC","Trd_of_MITFToNFIC","Num_of_MITFToNFIC","Inh_of_MITFToNFIC","Trd_of_AHRToFOS","Num_of_AHRToFOS","Inh_of_AHRToFOS","Trd_of_NR3C1ToFOS","Num_of_NR3C1ToFOS","Inh_of_NR3C1ToFOS","Trd_of_SMAD3ToFOS","Num_of_SMAD3ToFOS","Act_of_SMAD3ToFOS","Trd_of_NFICToFOS","Num_of_NFICToFOS","Inh_of_NFICToFOS","Trd_of_MITFToFOS","Num_of_MITFToFOS","Act_of_MITFToFOS","Trd_of_SMAD4ToFOS","Num_of_SMAD4ToFOS","Act_of_SMAD4ToFOS","Trd_of_FOSToFOS","Num_of_FOSToFOS","Inh_of_FOSToFOS","Trd_of_AHRToKLF4","Num_of_AHRToKLF4","Act_of_AHRToKLF4","Trd_of_JUNToKLF4","Num_of_JUNToKLF4","Act_of_JUNToKLF4","Trd_of_NR3C1ToKLF4","Num_of_NR3C1ToKLF4","Act_of_NR3C1ToKLF4","Trd_of_SMAD3ToKLF4","Num_of_SMAD3ToKLF4","Act_of_SMAD3ToKLF4","Trd_of_TBX3ToKLF4","Num_of_TBX3ToKLF4","Act_of_TBX3ToKLF4","Trd_of_MITFToKLF4","Num_of_MITFToKLF4","Inh_of_MITFToKLF4","Trd_of_KLF4ToFOXF1","Num_of_KLF4ToFOXF1","Act_of_KLF4ToFOXF1","Trd_of_JUNToJUN","Num_of_JUNToJUN","Act_of_JUNToJUN","Trd_of_SMAD3ToJUN","Num_of_SMAD3ToJUN","Act_of_SMAD3ToJUN","Trd_of_KLF4ToJUN","Num_of_KLF4ToJUN","Act_of_KLF4ToJUN","Trd_of_MITFToJUN","Num_of_MITFToJUN","Inh_of_MITFToJUN","Trd_of_SMAD4ToJUN","Num_of_SMAD4ToJUN","Act_of_SMAD4ToJUN","Trd_of_AHRToSMAD3","Num_of_AHRToSMAD3","Act_of_AHRToSMAD3","Trd_of_JUNToSMAD3","Num_of_JUNToSMAD3","Act_of_JUNToSMAD3","Trd_of_NR3C1ToSMAD3","Num_of_NR3C1ToSMAD3","Act_of_NR3C1ToSMAD3","Trd_of_NFICToSMAD3","Num_of_NFICToSMAD3","Act_of_NFICToSMAD3","Trd_of_FOSToSMAD3","Num_of_FOSToSMAD3","Inh_of_FOSToSMAD3","Trd_of_AHRToMITF","Num_of_AHRToMITF","Inh_of_AHRToMITF","Trd_of_JUNToMITF","Num_of_JUNToMITF","Inh_of_JUNToMITF","Trd_of_NR3C1ToMITF","Num_of_NR3C1ToMITF","Act_of_NR3C1ToMITF","Trd_of_SMAD3ToMITF","Num_of_SMAD3ToMITF","Inh_of_SMAD3ToMITF","Trd_of_KLF4ToMITF","Num_of_KLF4ToMITF","Inh_of_KLF4ToMITF","Trd_of_MITFToMITF","Num_of_MITFToMITF","Act_of_MITFToMITF","Trd_of_SMAD4ToMITF","Num_of_SMAD4ToMITF","Act_of_SMAD4ToMITF","Trd_of_NR3C1ToSMAD4","Num_of_NR3C1ToSMAD4","Inh_of_NR3C1ToSMAD4","Trd_of_MAFBToMAFB","Num_of_MAFBToMAFB","Act_of_MAFBToMAFB","Trd_of_NR3C1ToMAFB","Num_of_NR3C1ToMAFB","Act_of_NR3C1ToMAFB","Trd_of_AHRToNR3C1","Num_of_AHRToNR3C1","Act_of_AHRToNR3C1","Trd_of_JUNToNR3C1","Num_of_JUNToNR3C1","Act_of_JUNToNR3C1","Trd_of_SMAD3ToNR3C1","Num_of_SMAD3ToNR3C1","Act_of_SMAD3ToNR3C1","Trd_of_NFICToNR3C1","Num_of_NFICToNR3C1","Act_of_NFICToNR3C1","Trd_of_FOSToNR3C1","Num_of_FOSToNR3C1","Inh_of_FOSToNR3C1","Trd_of_NR3C1ToNR2F1","Num_of_NR3C1ToNR2F1","Act_of_NR3C1ToNR2F1","Trd_of_KLF4ToNR2F1","Num_of_KLF4ToNR2F1","Act_of_KLF4ToNR2F1","Trd_of_NFICToNR2F1","Num_of_NFICToNR2F1","Act_of_NFICToNR2F1","Trd_of_FOSToNR2F1","Num_of_FOSToNR2F1","Inh_of_FOSToNR2F1","Trd_of_STAT5AToSTAT5A","Num_of_STAT5AToSTAT5A","Act_of_STAT5AToSTAT5A","Trd_of_MITFToSTAT5A","Num_of_MITFToSTAT5A","Act_of_MITFToSTAT5A","Trd_of_SMAD3ToTBX3","Num_of_SMAD3ToTBX3","Act_of_SMAD3ToTBX3","Trd_of_TBX3ToTBX3","Num_of_TBX3ToTBX3","Act_of_TBX3ToTBX3","Trd_of_KLF4ToTBX3","Num_of_KLF4ToTBX3","Act_of_KLF4ToTBX3","Trd_of_NFICToTBX3","Num_of_NFICToTBX3","Act_of_NFICToTBX3","Trd_of_JUNToTFE3","Num_of_JUNToTFE3","Act_of_JUNToTFE3","Trd_of_TFE3ToTFE3","Num_of_TFE3ToTFE3","Inh_of_TFE3ToTFE3","Trd_of_NFICToTFE3","Num_of_NFICToTFE3","Act_of_NFICToTFE3","Trd_of_MITFToTFE3","Num_of_MITFToTFE3","Inh_of_MITFToTFE3","Trd_of_FOSToTFE3","Num_of_FOSToTFE3","Inh_of_FOSToTFE3","Trd_of_NR3C1ToETV5","Num_of_NR3C1ToETV5","Inh_of_NR3C1ToETV5","Trd_of_ETV5ToETV5","Num_of_ETV5ToETV5","Act_of_ETV5ToETV5","Trd_of_MITFToETV5","Num_of_MITFToETV5","Act_of_MITFToETV5","Trd_of_NR2F1ToTFAP2A","Num_of_NR2F1ToTFAP2A","Act_of_NR2F1ToTFAP2A","Trd_of_MITFToTFAP2A","Num_of_MITFToTFAP2A","Act_of_MITFToTFAP2A"
"756",756,4,61.770908,63.902311,873.158182,33.915374,72.828751,798.155138,691.400709,1633.187278,65.76569,11.632362,535.314369,77.364845,67.29804,73.028922,26.578252,95.876162,20.385273,0.78992,0.425639,0.758371,0.222907,0.605789,0.606605,0.41915,0.693858,0.406646,0.507537,0.812134,0.874964,0.776042,0.876924,0.482272,0.210794,0.126972,0.443474,2,0.014818,0.77443,6,87.243298,2.556583,1,0.042212,7.169564,4,52.226264,0.045644,1,0.049432,4.601971,1,0.020541,2.704727,3,0.03732,4.746182,5,95.451094,14.217691,2,0.013895,2.523805,4,34.048354,44.364342,1,96.450481,1.1287,6,0.205879,4.158859,5,22.769052,0.812359,6,83.451944,2.198199,6,93.93623,6.94057,6,83.640606,1.525215,3,88.01242,0.308547,3,0.098046,1.781987,1,69.981739,1.190379,1,50.746923,6.808683,2,42.613392,1.87749,4,47.819814,2.746396,4,0.016364,33.081281,3,73.611836,3.621351,5,69.891452,3.907094,2,62.615712,1.867447,4,62.46954,3.834212,3,59.747978,2.559185,5,0.062034,0.257061,2,0.015868,0.232572,2,0.053814,6.259028,1,72.756691,4.841105,5,0.012684,1.877545,1,0.01151,2.183159,5,98.988684,50.848277,5,7.095003,6.975964,3,0.023796,20.739002,4,24.56608,7.142654,5,91.735818,3.248603,2,94.90258,0.427813,6,10.413128,1.93269,2,9.051837,5.403398,2,50.174683,0.654641,2,0.01453,1.823687,1,73.215862,2.335724,1,27.339143,14.110587,4,89.774603,2.420732,3,0.013274,17.594714,4,8.158897,2.194768,6,67.873252,1.079409,2,45.081052,2.531729,5,43.692453,1.872172,4,10.374001,5.095021,5,71.535868,1.337453,2,4.459698,4.461312,2,0.014953,7.1818,4,40.974756,1.867911,3,0.022813,0.540768,2,0.152497,5.071467,2,0.02892,0.894661,1,56.743719,1.826725,4,21.519409,0.606701,1,51.729614,0.212096,5,59.564924
"1073",1073,4,3.061033,48.431447,4656.238628,118.266049,49.680338,241.951666,160.346674,8966.460576,24.123682,6.869808,468.775202,94.766606,52.004339,94.583934,934.714705,36.891975,87.509019,0.979462,0.684512,0.645108,0.449216,0.768621,0.937384,0.724956,0.71763,0.663078,0.346381,0.455003,0.190832,0.806583,0.780459,0.512926,0.754864,0.652082,4.266058,6,0.057458,3.280675,3,42.403906,3.280156,1,0.011978,0.635971,3,26.041394,3.59482,1,0.029036,3.897682,1,0.043188,6.375812,4,0.014274,0.55713,3,42.116422,4.555029,5,0.010176,1.746048,1,51.369739,28.272677,6,45.155239,1.521016,2,0.011886,4.620718,5,64.668237,1.61085,3,50.892697,7.108531,4,57.062655,5.913211,6,15.133853,2.058839,6,89.028982,2.713748,5,0.01699,1.55997,4,48.281973,0.443965,5,40.99295,2.621254,1,42.976865,1.783313,6,98.898789,1.458005,1,0.010622,5.352534,2,25.043084,4.669876,4,42.009411,5.929777,3,13.293214,4.78481,6,33.601538,10.240389,2,74.086468,2.937644,3,0.011106,0.421059,6,0.010649,1.654016,2,0.069812,6.471583,6,25.373832,4.857986,1,0.252845,0.277593,5,0.010703,3.467235,1,74.019413,46.495522,1,48.410235,4.833715,6,0.012612,20.120893,4,3.356365,1.16263,6,56.517839,0.716558,1,35.343997,2.734208,1,14.585681,4.803202,1,97.799751,11.98026,1,42.745228,0.856643,3,0.163516,6.288427,3,88.502523,1.775101,4,95.957662,10.982948,2,24.213572,1.802994,6,0.011343,8.533555,2,77.454583,2.825909,3,70.536605,4.079494,1,85.214512,1.262551,1,86.996447,0.805466,3,83.354528,10.882853,2,47.184161,6.253642,4,24.67019,0.674874,4,0.123882,18.778416,6,93.014528,2.94036,3,0.012257,1.29079,5,0.012063,7.068129,5,0.031726,5.468267,3,18.668022,1.520416,5,66.218297,0.950171,6,65.185266,3.124757,1,82.270766
"1343",1343,4,15.080492,45.661814,9330.731174,660.229411,27.326471,301.575725,19.263169,1738.508114,41.940129,52.660654,949.947981,37.361931,99.30315,61.453449,750.024367,99.997642,87.116459,0.458232,0.447324,0.951348,0.409858,0.157814,0.107631,0.394613,0.56958,0.445471,0.600322,0.479582,0.379413,0.885972,0.141702,0.119947,0.801425,0.856303,1.392905,6,0.044436,2.077846,2,17.008916,2.493341,1,0.059255,6.740382,5,24.862431,0.115685,6,0.016417,2.092653,5,0.012277,1.384152,5,0.020277,4.411837,1,59.287973,12.144419,3,0.01468,1.216423,6,63.929534,15.956647,1,97.07048,2.330305,1,0.011274,3.697744,6,1.624672,6.709405,4,94.544474,6.895461,3,79.439345,3.124153,4,97.761039,2.314808,4,82.459884,1.548313,5,0.022695,2.196773,4,89.889387,4.195668,1,39.700359,4.421959,6,50.916716,1.180791,6,50.877238,1.270267,2,0.038872,24.45129,5,11.231197,3.654288,3,87.167173,4.440656,4,8.492669,1.608399,4,23.215879,16.719174,4,43.388087,1.969169,1,0.040557,0.184276,6,0.023277,3.443815,4,0.01833,2.508828,6,36.666255,6.164332,1,0.01089,1.188458,6,0.014896,0.638558,4,90.033299,54.16552,5,63.98819,3.773933,4,0.018068,22.337795,1,26.190875,6.826807,6,42.92103,1.038806,5,76.683449,0.22412,1,32.084956,0.244862,4,56.255227,12.545326,1,27.97856,0.46129,5,0.030131,7.292288,1,61.017709,1.145666,5,52.585958,13.280954,3,91.504534,3.044528,6,0.029125,0.572178,1,18.150049,0.525505,3,74.873915,3.561248,3,77.579612,0.695893,2,58.161806,1.681853,2,1.842232,18.741921,2,12.307406,4.710296,5,27.725839,1.987053,3,0.103003,4.207263,1,58.033791,2.136672,3,0.013285,0.573848,6,0.012655,4.951107,4,0.011113,1.134135,4,24.459287,1.600958,3,1.048968,0.052326,2,41.179099,2.282909,6,35.3585
"1748",1748,4,55.457512,89.566703,5679.017359,468.022672,57.272666,726.352526,683.998309,7967.321826,32.577837,49.523228,572.602935,87.155739,74.737375,23.864332,871.835647,8.301002,4.379397,0.615848,0.47732,0.201743,0.50863,0.698958,0.846204,0.656317,0.532125,0.913319,0.147657,0.978458,0.320522,0.770293,0.397563,0.797169,0.289367,0.501716,3.434573,6,0.019636,12.518993,5,80.87847,3.010761,4,0.010177,1.043414,1,91.931866,0.252116,6,0.04922,2.509299,4,0.018991,3.610477,4,0.015073,3.302438,4,65.027312,12.792127,2,0.030383,1.253616,5,96.75199,4.677676,6,70.677928,0.33686,4,0.012619,0.844583,2,43.65132,2.628126,1,49.411182,2.736852,3,32.792626,2.905201,3,28.919073,0.738613,4,96.080117,2.686263,4,0.014862,0.74227,5,81.280596,1.165006,6,92.448105,1.869384,3,45.322792,0.878107,6,46.79592,1.188726,3,0.065944,7.95124,3,68.017756,0.473426,5,11.488848,5.493778,6,93.55839,3.782834,3,30.266146,11.245773,3,37.576969,1.315062,6,0.010223,2.204878,4,0.017342,0.880567,4,0.018488,4.702348,2,48.823587,1.225784,1,0.124849,1.271879,1,0.025924,1.66864,3,93.092006,51.455603,3,47.105667,1.329344,2,0.014112,16.480811,2,41.573654,3.047855,5,13.901012,2.328366,1,55.479045,6.134917,3,87.592385,3.051559,2,90.98234,4.879374,6,91.116311,2.141435,3,0.016218,7.197251,6,44.792587,0.649123,1,6.132769,17.7358,4,10.64007,3.653429,2,0.025055,22.589628,1,28.361607,2.516138,6,37.228499,6.115614,6,74.5921,1.437662,2,66.006542,1.585234,5,8.922039,2.938396,2,5.886857,1.793618,2,61.782654,0.276659,3,0.014006,18.522505,1,30.904569,1.775115,3,0.099715,1.492305,1,0.011296,4.386611,1,0.012202,1.235479,2,57.062346,1.748658,3,77.096734,0.280357,3,71.621099,2.859166,4,39.90009
"1968",1968,4,9.229129,85.256364,6483.575874,835.178701,58.755037,216.069213,936.453816,1522.172729,7.071761,97.717634,721.187344,42.495704,8.650467,40.910456,754.061885,58.67989,65.375902,0.444961,0.906408,0.389165,0.908594,0.676363,0.582582,0.58164,0.805675,0.45589,0.620918,0.950158,0.17715,0.60973,0.584872,0.460046,0.240286,0.403861,4.279844,5,0.050146,18.365973,5,17.856453,3.781608,6,0.027403,6.28645,4,49.70246,0.650083,1,0.022178,0.642896,4,0.042116,7.190395,6,0.011917,1.648072,2,17.527085,7.719958,3,0.050869,2.131495,6,89.048052,44.592705,1,69.483948,3.014809,2,0.011386,4.469233,3,16.95466,2.166945,2,68.420489,6.212671,6,77.879453,6.913458,1,94.667849,1.20475,2,47.340867,0.613001,4,0.012121,1.879621,2,34.075898,5.276322,2,90.673561,6.885198,1,19.457169,1.682514,5,52.952301,0.606783,4,0.155879,9.543935,2,45.154485,3.643903,5,60.725691,1.738697,4,29.406448,5.891097,5,49.943885,5.795488,5,48.527962,2.701468,3,0.017539,4.231869,5,0.016474,1.645115,4,0.010775,0.31308,3,44.010505,1.407794,6,0.025353,0.43893,5,0.013653,1.9109,5,89.111807,21.233033,3,31.328999,2.115745,5,0.013607,13.732653,2,87.052676,3.018019,2,24.582627,3.737078,6,9.649043,0.837002,2,54.517072,3.160837,5,21.786574,12.421192,3,26.506399,3.256394,4,0.010335,4.949665,6,10.205666,0.345611,2,60.048042,8.330376,4,91.277518,2.91646,6,0.013285,14.708379,5,78.145092,1.059583,6,13.415582,5.146022,2,77.620406,2.068367,4,33.93528,2.196683,4,31.981732,16.362211,3,58.772441,3.191523,5,84.129938,1.038889,4,0.012185,10.237871,6,61.618655,0.89877,1,0.023238,1.17853,2,0.012646,4.078676,6,0.025498,2.65438,5,60.252215,0.979011,1,11.316694,0.03545,5,51.632805,3.056358,1,26.723858
"2162",2162,4,82.153385,68.773298,5760.019439,715.067604,8.030791,487.491085,629.886287,3731.824812,1.033444,58.838088,807.894728,71.864833,40.102402,72.773337,61.216315,52.99465,27.387456,0.169355,0.50068,0.747793,0.670464,0.409252,0.520361,0.928775,0.526979,0.36005,0.53663,0.263496,0.417997,0.975745,0.574694,0.838266,0.38692,0.792726,0.290182,2,0.019307,7.187617,2,13.208642,2.57294,5,0.011695,4.197113,4,66.172119,0.603453,6,0.041465,2.505579,2,0.070957,6.646833,2,0.022249,5.039985,2,40.29153,12.531241,6,0.066172,3.217138,5,3.626932,12.059078,5,70.296111,3.723085,4,0.041092,1.832073,5,23.020159,3.817971,6,52.154382,4.51443,5,48.197221,5.31646,6,67.319956,1.480942,3,52.118672,2.806962,3,0.013842,1.966198,5,1.877052,1.456434,5,29.212339,0.60909,1,7.614369,1.043938,6,70.129024,1.031146,6,0.114585,40.153015,2,32.225794,4.371095,5,63.108239,1.26411,6,73.944742,0.7201,6,6.338934,16.807696,2,34.515266,2.144249,2,0.030748,2.892844,6,0.283725,3.642145,5,0.02088,6.316962,2,16.748595,0.307496,6,0.012216,0.745655,5,0.012972,1.356017,3,58.300574,12.149834,6,88.157441,1.400507,5,0.022533,10.842858,5,6.68895,7.433805,6,36.827565,3.459207,6,99.455345,3.194343,5,97.142457,0.489346,3,13.261335,16.545431,5,65.151805,1.368209,1,0.013217,0.653334,4,32.749903,1.954454,2,41.794287,18.472525,4,35.739512,1.085054,5,0.039345,1.035858,4,31.13683,2.702434,6,84.111808,6.135948,6,57.73169,2.419144,6,61.731885,2.550618,2,92.943907,1.556163,4,89.580265,5.861816,6,72.340293,1.771208,4,0.014894,4.353118,1,38.462994,1.98383,5,0.021917,0.50422,2,0.032372,7.141104,1,0.028378,5.914255,2,36.311533,1.807131,2,90.385091,0.980558,1,86.303263,3.513382,4,21.459434
"2743",2743,4,75.666143,14.624562,2275.085764,781.411406,41.484363,699.131333,37.208056,4951.935301,8.793437,72.850377,779.421314,61.613296,43.435523,74.521913,955.693198,30.850905,99.76957,0.161203,0.629704,0.503434,0.305535,0.279455,0.316063,0.626484,0.415912,0.342624,0.480202,0.782754,0.101001,0.23121,0.114975,0.993763,0.630308,0.627454,2.484247,3,0.033112,16.734487,4,72.601708,2.119765,5,0.012075,1.574734,2,6.33913,0.789697,1,0.010528,1.182804,2,0.042585,2.652423,1,0.010097,5.513301,6,1.390251,4.391403,2,0.013026,0.63591,1,53.735619,12.07132,6,9.864974,0.671808,6,0.014822,2.391968,5,79.98322,4.14651,1,34.24486,6.932461,2,20.833269,4.08227,2,44.212911,2.374965,5,26.861294,2.022207,3,0.016651,1.722674,2,67.573062,4.686886,3,14.092804,1.875492,3,62.088117,1.264817,2,10.569063,1.867197,1,0.031428,41.686432,4,34.129654,1.217868,6,96.542024,2.119371,3,48.966042,5.743224,5,48.068369,3.256305,6,70.012626,2.482017,3,0.026924,4.238193,1,0.017673,2.526261,1,0.109121,5.159779,6,53.097332,6.772402,4,0.010921,0.311934,3,0.010827,3.365493,4,76.405103,55.817294,6,23.07871,5.579423,1,0.103655,7.691339,3,20.997708,3.376744,4,2.818873,1.761608,4,58.207421,4.575564,2,58.518372,4.412284,6,26.002595,8.269124,1,90.081015,3.818521,4,0.031062,1.308656,1,23.201534,0.06637,4,46.111834,7.031231,6,3.495008,2.428089,6,0.062311,13.890227,3,72.500919,1.596435,5,60.280709,1.870838,6,43.800606,2.553523,2,75.965232,2.508147,2,32.188483,13.312561,1,30.961651,0.342268,6,52.988387,2.200276,4,0.010027,0.80748,6,54.869905,2.666259,4,0.028994,0.053699,5,0.031377,2.977417,2,0.030791,3.826229,2,98.444642,2.318975,6,97.873668,0.458792,4,38.236899,0.987312,4,95.500952
"2853",2853,4,56.356607,88.811707,6586.454505,534.487769,19.499431,163.088862,184.086122,5028.249542,4.028517,62.138538,981.646981,3.864137,18.925498,71.289586,364.054654,92.662548,55.451477,0.921019,0.843363,0.658705,0.609485,0.801798,0.825209,0.596819,0.811474,0.906464,0.101236,0.939261,0.735462,0.943516,0.499053,0.196453,0.922237,0.964998,1.40543,2,0.016429,16.272386,5,14.384983,3.686064,2,0.013979,7.118061,1,58.181678,2.497957,4,0.014152,3.105181,4,0.010614,7.2488,5,0.030353,5.882534,4,86.989856,2.700357,1,0.01829,2.860252,5,69.92208,18.890532,3,36.095758,3.156099,1,0.034049,1.508599,1,75.270325,4.960094,5,68.294707,3.855779,4,12.68961,4.311128,3,27.189216,1.642119,5,70.371199,1.12311,1,0.010565,1.20163,2,63.522705,2.533481,4,16.032272,6.20473,3,20.836417,0.878393,6,6.282932,1.192587,5,0.247771,56.150361,5,94.819429,1.048516,5,46.099783,2.847543,5,50.34024,1.326211,2,52.87962,15.329244,4,67.933577,1.299298,1,0.122583,2.062757,1,0.037256,6.279047,2,0.031748,5.248474,6,36.789342,4.180685,4,0.084441,2.403558,3,0.013347,1.526184,5,47.948995,50.483619,1,84.792703,6.98178,3,0.02485,6.601652,6,9.194095,0.598735,1,14.122041,0.935322,6,82.534055,3.980257,4,91.605666,4.023885,4,64.806187,3.262131,3,39.35668,0.282355,3,0.028581,2.361216,3,88.370272,1.920384,3,94.98107,2.972641,6,92.221486,3.484235,5,0.053586,13.482531,2,33.91968,0.577121,2,3.009389,1.928337,4,88.131947,2.583987,5,50.401994,0.765006,2,77.419011,8.603947,1,52.49496,1.137165,4,72.27437,1.214068,6,0.01377,9.465504,1,12.998658,3.057105,3,0.011277,1.666809,2,0.010758,3.662583,4,0.010846,1.935301,3,20.129639,0.957303,6,46.447626,1.614576,4,97.843811,0.142537,5,70.704476
"3210",3210,4,52.786509,96.820674,1746.962658,865.366323,1.018956,291.039442,724.139034,4077.061827,55.31684,46.240979,788.143491,87.002101,98.811286,96.114334,390.79488,91.649085,18.047952,0.866761,0.665327,0.840744,0.766723,0.627759,0.964368,0.552415,0.932291,0.178047,0.448663,0.40524,0.272816,0.832017,0.832859,0.987969,0.64668,0.997322,0.913006,2,0.099745,14.201904,1,44.27491,3.2716,2,0.019935,1.272904,2,47.214775,1.517283,2,0.012574,2.546227,4,0.017556,0.960464,2,0.018811,5.422508,5,57.547523,0.422121,6,0.015609,0.416903,1,72.321644,45.922438,3,60.405849,1.897844,4,0.065358,1.303105,5,16.46791,4.982145,6,57.73126,5.815726,6,95.84243,3.400745,5,58.465374,1.666649,3,50.707457,0.670145,2,0.033395,0.104046,1,47.900106,0.583462,5,91.51091,3.816987,1,3.620814,1.230208,3,44.4424,2.120146,3,0.375493,47.39197,1,55.37186,3.690805,5,2.018422,6.276357,2,58.13113,0.392331,2,66.423217,5.281197,1,85.419372,2.384257,2,0.013869,3.282737,3,0.024553,4.96339,2,0.030766,4.556055,3,89.176991,4.072908,2,0.122437,0.513365,3,0.025677,1.914418,6,72.497234,24.235757,1,75.388626,5.31683,3,0.049232,12.149884,2,11.30852,3.608341,1,18.720823,0.1595,4,63.377925,1.347751,2,1.492605,4.712313,2,17.587777,13.223783,4,9.179767,0.203436,6,0.023093,3.92534,1,52.662497,0.053305,5,33.59173,17.495794,2,93.073686,1.559022,4,0.035239,13.081108,3,46.421847,2.678557,3,97.795761,0.442888,3,86.377384,2.511517,1,63.073306,0.3657,4,40.488418,2.972543,3,26.874103,2.404821,4,78.526439,1.15348,4,0.059526,4.814733,5,66.778184,3.318291,2,0.030422,1.067055,5,0.113495,6.821773,6,0.275406,5.15252,2,22.026785,2.259197,1,72.182602,1.502463,1,65.323821,2.154419,1,84.675969
"3653",3653,4,69.207996,17.881686,5293.549202,440.822802,20.962952,204.177171,568.15535,4277.810733,97.326486,60.293762,948.223282,21.06247,77.586366,46.948919,530.611485,28.746381,75.534521,0.395912,0.210551,0.667348,0.449112,0.282102,0.284856,0.150233,0.954309,0.336542,0.449068,0.216242,0.43061,0.36863,0.185565,0.168578,0.816215,0.176119,0.264894,2,0.018309,5.256804,6,39.06456,1.196567,1,0.012997,4.134947,2,70.654802,2.462522,3,0.024191,4.450961,3,0.036558,6.742512,2,0.015367,2.514105,5,24.968303,7.50902,5,0.016298,2.23345,3,62.966587,11.959142,5,76.552654,0.183222,4,0.891713,1.508306,6,83.277879,3.213746,4,71.709039,3.950911,1,77.688012,4.822107,1,20.820986,2.632297,3,37.742098,2.299073,4,0.017539,0.287693,4,73.684044,6.496587,3,45.703653,5.175076,3,54.091516,2.362151,4,48.346214,0.089064,2,0.029566,58.263367,1,71.241034,0.631663,5,79.683231,4.780187,3,91.886117,1.456354,2,74.00919,15.894375,6,33.896411,3.347436,6,0.031442,0.153257,6,0.010404,2.810199,5,0.023068,2.585796,3,53.289939,4.288779,2,0.013358,0.63677,6,0.055547,2.843671,1,56.358072,34.221073,6,92.954859,1.758282,4,0.034156,9.611211,4,26.398394,4.206458,3,17.425705,4.69651,6,78.304961,6.309201,6,69.241599,2.393071,6,74.529055,6.693731,1,11.777328,2.257505,6,0.02219,6.729125,3,96.161874,1.442934,2,36.449487,16.44579,6,57.81742,2.216918,4,0.014894,15.609227,4,1.405341,1.839634,4,41.68005,0.696757,6,65.63681,1.516565,6,13.294198,2.242501,3,74.326757,11.066863,3,25.105691,5.004807,4,43.457383,0.206808,5,0.103313,2.337725,1,74.096342,0.38124,4,0.015113,2.730689,3,0.113116,4.947776,2,0.04078,2.107848,2,20.181909,3.160154,4,47.890823,1.644111,1,76.764145,0.530402,6,47.794024
