Index,Number of steady states,Number of initial conditions,AHR,NFIC,FOS,KLF4,FOXF1,JUN,SMAD3,MITF,SMAD4,MAFB,NR3C1,NR2F1,STAT5A,TBX3,TFE3,ETV5,TFAP2A,Cluster
4046,5,31,0.003998,-1.32237,-0.873544,-13.132949,4.571821,-18.285918,-0.143727,-4.575155,2.704107,-3.782697,-6.162415,-9.890228,-4.347934,-18.847203,-1.268475,-3.711223,-5.458715,3
4046,5,22,-5.483411,-4.609376,2.855282,-21.727889,4.571821,-22.548013,-9.582302,2.0264,2.704108,-4.313307,-17.377721,-12.77827,7.05639,-19.197423,-12.057142,4.141358,-1.575293,4
4046,5,18,-3.71031,-1.322427,1.863608,-15.752428,4.571821,-18.543598,-4.087613,-4.56184,2.704108,-4.312875,-16.004983,-10.788226,-4.347934,-19.197314,-7.692766,-3.71116,-5.448627,1
4046,5,5,2.788709,4.364942,-12.469506,2.494766,7.070266,-5.842019,6.898392,-15.346743,-3.35231,7.382461,5.447915,7.883607,-4.347934,3.680672,1.355022,-8.682508,-1.464659,2
4046,5,24,2.788709,4.364942,-12.459915,-1.564012,4.584555,-12.143922,6.898392,-10.515869,-3.35231,7.382461,5.447915,6.508895,-4.347934,-9.159871,1.270894,-8.682508,-1.377059,5
8441,5,18,-5.855769,-4.051808,1.975304,-21.607937,1.987103,-5.388356,-17.685188,5.909719,6.608956,-0.533439,-11.535863,-11.341585,7.505286,-18.960324,-7.233303,8.706065,0.050468,4
8441,5,31,0.840866,2.067849,-2.922347,-7.705993,1.987103,3.147577,-3.043685,-5.767878,6.606163,-0.525218,-0.250758,-4.073568,5.204669,-15.793363,4.808525,5.445551,-6.195497,3
8441,5,12,-5.854997,-4.04484,1.973188,-19.476631,1.987103,1.079536,-11.62783,4.304724,6.608956,-0.533439,-10.802178,-11.339488,7.505234,-18.960324,-5.671474,8.696433,0.049719,1
8441,5,4,2.081637,7.047229,-18.135046,-4.497571,1.987104,-4.666857,3.434865,-8.15034,1.98173,7.56008,4.634744,-0.987557,5.204669,-6.521538,1.315354,-7.50789,-6.189873,5
8441,5,35,2.081705,7.053531,-18.181645,7.523153,7.821766,4.920959,9.681679,-16.534076,1.083409,7.560753,9.440807,3.953561,5.204669,4.79867,6.311688,-8.213198,-3.101826,2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cluster,Phenotype,,,,,,,,,,,,,,,,,,,
1,P,,,,,,,,,,,,,,,,,,,
2,U,,,,,,,,,,,,,,,,,,,
3,T,,,,,,,,,,,,,,,,,,,
4,H,,,,,,,,,,,,,,,,,,,
5,N,,,,,,,,,,,,,,,,,,,
