Index,Number of steady states,Number of initial conditions,AHR,NFIC,FOS,KLF4,FOXF1,JUN,SMAD3,MITF,SMAD4,MAFB,NR3C1,NR2F1,STAT5A,TBX3,TFE3,ETV5,TFAP2A,Cluster
756,4,57,1.539779,6.94955,-8.589173,-8.89446,0.893342,-6.961077,2.781181,-6.627057,2.731427,-0.101955,4.734141,1.632662,-2.67486,-2.478583,2.397414,-1.060414,1.178144,3
756,4,14,1.493686,0.773244,-2.536023,-21.150124,0.780667,-5.261311,-6.649626,-4.879753,7.337294,-6.619501,-1.686532,-7.437099,-2.67486,-13.717331,-1.678387,4.334928,-3.689822,1
756,4,20,1.540029,7.229974,-9.299382,4.782134,6.82035,4.228562,8.689857,-17.952677,1.945022,-0.099969,8.212813,6.344403,-2.67486,6.379834,3.310194,-4.987773,1.419957,4
756,4,9,-1.581605,-2.716413,1.018388,-26.391979,0.780644,-12.030843,-13.630384,3.628023,7.337418,-6.619521,-11.583252,-11.624572,6.436085,-14.099382,-9.244474,8.825745,1.671637,2
1073,4,19,1.521377,6.057235,-7.755407,-11.330495,0.420847,-9.613065,1.244207,-2.109766,-1.052755,2.589708,4.038913,2.256817,-6.350463,-6.588994,3.192792,-9.10294,3.430459,3
1073,4,53,-5.414851,-3.039809,2.874143,-25.753502,0.420847,-15.291184,-16.421593,7.771152,5.185127,-3.257696,-12.063419,-14.882995,5.985049,-17.86716,-13.035832,5.609028,1.02152,2
1073,4,10,1.522675,6.144718,-11.862069,4.702503,6.014241,3.471783,4.796723,-15.677231,-1.123963,2.589708,8.956678,8.922981,-6.404702,6.67547,7.685249,-9.638899,0.706642,4
1073,4,18,1.504397,5.899181,-4.006491,-17.207003,0.420847,-8.468189,-3.87361,-3.46948,5.184855,1.581559,0.214519,-3.513204,-6.401434,-11.062849,3.19278,-4.660796,-3.60588,1
1343,4,13,1.126525,2.037589,-0.423262,-15.860077,0.945851,-4.787075,-10.116704,-5.624887,6.556848,-3.547395,-2.533553,-8.439248,-0.029863,-7.271566,2.023924,6.89421,-3.673813,1
1343,4,26,1.299283,6.673525,-9.65093,10.016891,7.43593,7.935047,3.56508,-19.696089,0.766416,6.055453,10.770721,6.612607,-0.039078,8.678331,9.273832,-4.209486,1.524694,4
1343,4,12,1.299415,6.67352,-11.185443,-0.920774,1.320103,-8.088394,0.479723,-6.642979,0.766772,6.055453,6.353116,1.8184,-0.037965,4.076409,4.489339,-4.207759,1.524384,3
1343,4,49,-1.539619,-3.890993,4.153342,-20.651139,0.945851,-7.922618,-16.675588,1.843605,6.556855,-3.547395,-14.769861,-16.64181,6.796977,-7.877969,-5.852501,6.957683,1.215023,2
1748,4,70,-3.264471,-3.314792,2.451182,-23.057112,0.011657,-11.773803,-16.773456,6.348943,5.156628,-0.706336,-18.132119,-5.04358,6.237624,-12.064613,-6.077441,4.839662,-2.913236,2
1748,4,9,2.467799,4.130057,-3.372378,-12.117743,0.011657,-7.624691,-1.770322,-5.034848,5.149403,-0.706335,-3.397987,-0.914551,-3.274509,-9.548432,-0.584505,-7.288489,-2.388168,1
1748,4,16,2.516039,7.547932,-13.061513,9.552566,6.356497,3.681989,10.016323,-16.851179,-0.989101,8.3863,8.562936,8.08588,-3.274509,5.906419,3.778831,-12.670198,-2.192532,4
1748,4,5,2.516037,7.19563,-3.053018,-2.387306,0.137036,-4.916722,2.463251,-6.243329,2.193821,7.945333,1.877176,1.915862,-3.274509,-4.710485,-0.325942,-8.123058,-2.193115,3
