Index,Number.of.steady.states,Prod_of_AHR,Prod_of_NFIC,Prod_of_FOS,Prod_of_KLF4,Prod_of_FOXF1,Prod_of_JUN,Prod_of_SMAD3,Prod_of_MITF,Prod_of_SMAD4,Prod_of_MAFB,Prod_of_NR3C1,Prod_of_NR2F1,Prod_of_STAT5A,Prod_of_TBX3,Prod_of_TFE3,Prod_of_ETV5,Prod_of_TFAP2A,Deg_of_AHR,Deg_of_NFIC,Deg_of_FOS,Deg_of_KLF4,Deg_of_FOXF1,Deg_of_JUN,Deg_of_SMAD3,Deg_of_MITF,Deg_of_SMAD4,Deg_of_MAFB,Deg_of_NR3C1,Deg_of_NR2F1,Deg_of_STAT5A,Deg_of_TBX3,Deg_of_TFE3,Deg_of_ETV5,Deg_of_TFAP2A,Trd_of_AHRToAHR,Num_of_AHRToAHR,Inh_of_AHRToAHR,Trd_of_NFICToAHR,Num_of_NFICToAHR,Act_of_NFICToAHR,Trd_of_FOSToAHR,Num_of_FOSToAHR,Inh_of_FOSToAHR,Trd_of_NR3C1ToNFIC,Num_of_NR3C1ToNFIC,Act_of_NR3C1ToNFIC,Trd_of_MITFToNFIC,Num_of_MITFToNFIC,Inh_of_MITFToNFIC,Trd_of_AHRToFOS,Num_of_AHRToFOS,Inh_of_AHRToFOS,Trd_of_NR3C1ToFOS,Num_of_NR3C1ToFOS,Inh_of_NR3C1ToFOS,Trd_of_SMAD3ToFOS,Num_of_SMAD3ToFOS,Act_of_SMAD3ToFOS,Trd_of_NFICToFOS,Num_of_NFICToFOS,Inh_of_NFICToFOS,Trd_of_MITFToFOS,Num_of_MITFToFOS,Act_of_MITFToFOS,Trd_of_SMAD4ToFOS,Num_of_SMAD4ToFOS,Act_of_SMAD4ToFOS,Trd_of_FOSToFOS,Num_of_FOSToFOS,Inh_of_FOSToFOS,Trd_of_AHRToKLF4,Num_of_AHRToKLF4,Act_of_AHRToKLF4,Trd_of_JUNToKLF4,Num_of_JUNToKLF4,Act_of_JUNToKLF4,Trd_of_NR3C1ToKLF4,Num_of_NR3C1ToKLF4,Act_of_NR3C1ToKLF4,Trd_of_SMAD3ToKLF4,Num_of_SMAD3ToKLF4,Act_of_SMAD3ToKLF4,Trd_of_TBX3ToKLF4,Num_of_TBX3ToKLF4,Act_of_TBX3ToKLF4,Trd_of_MITFToKLF4,Num_of_MITFToKLF4,Inh_of_MITFToKLF4,Trd_of_KLF4ToFOXF1,Num_of_KLF4ToFOXF1,Act_of_KLF4ToFOXF1,Trd_of_JUNToJUN,Num_of_JUNToJUN,Act_of_JUNToJUN,Trd_of_SMAD3ToJUN,Num_of_SMAD3ToJUN,Act_of_SMAD3ToJUN,Trd_of_KLF4ToJUN,Num_of_KLF4ToJUN,Act_of_KLF4ToJUN,Trd_of_MITFToJUN,Num_of_MITFToJUN,Inh_of_MITFToJUN,Trd_of_SMAD4ToJUN,Num_of_SMAD4ToJUN,Act_of_SMAD4ToJUN,Trd_of_AHRToSMAD3,Num_of_AHRToSMAD3,Act_of_AHRToSMAD3,Trd_of_JUNToSMAD3,Num_of_JUNToSMAD3,Act_of_JUNToSMAD3,Trd_of_NR3C1ToSMAD3,Num_of_NR3C1ToSMAD3,Act_of_NR3C1ToSMAD3,Trd_of_NFICToSMAD3,Num_of_NFICToSMAD3,Act_of_NFICToSMAD3,Trd_of_FOSToSMAD3,Num_of_FOSToSMAD3,Inh_of_FOSToSMAD3,Trd_of_AHRToMITF,Num_of_AHRToMITF,Inh_of_AHRToMITF,Trd_of_JUNToMITF,Num_of_JUNToMITF,Inh_of_JUNToMITF,Trd_of_NR3C1ToMITF,Num_of_NR3C1ToMITF,Act_of_NR3C1ToMITF,Trd_of_SMAD3ToMITF,Num_of_SMAD3ToMITF,Inh_of_SMAD3ToMITF,Trd_of_KLF4ToMITF,Num_of_KLF4ToMITF,Inh_of_KLF4ToMITF,Trd_of_MITFToMITF,Num_of_MITFToMITF,Act_of_MITFToMITF,Trd_of_SMAD4ToMITF,Num_of_SMAD4ToMITF,Act_of_SMAD4ToMITF,Trd_of_NR3C1ToSMAD4,Num_of_NR3C1ToSMAD4,Inh_of_NR3C1ToSMAD4,Trd_of_MAFBToMAFB,Num_of_MAFBToMAFB,Act_of_MAFBToMAFB,Trd_of_NR3C1ToMAFB,Num_of_NR3C1ToMAFB,Act_of_NR3C1ToMAFB,Trd_of_AHRToNR3C1,Num_of_AHRToNR3C1,Act_of_AHRToNR3C1,Trd_of_JUNToNR3C1,Num_of_JUNToNR3C1,Act_of_JUNToNR3C1,Trd_of_SMAD3ToNR3C1,Num_of_SMAD3ToNR3C1,Act_of_SMAD3ToNR3C1,Trd_of_NFICToNR3C1,Num_of_NFICToNR3C1,Act_of_NFICToNR3C1,Trd_of_FOSToNR3C1,Num_of_FOSToNR3C1,Inh_of_FOSToNR3C1,Trd_of_NR3C1ToNR2F1,Num_of_NR3C1ToNR2F1,Act_of_NR3C1ToNR2F1,Trd_of_KLF4ToNR2F1,Num_of_KLF4ToNR2F1,Act_of_KLF4ToNR2F1,Trd_of_NFICToNR2F1,Num_of_NFICToNR2F1,Act_of_NFICToNR2F1,Trd_of_FOSToNR2F1,Num_of_FOSToNR2F1,Inh_of_FOSToNR2F1,Trd_of_STAT5AToSTAT5A,Num_of_STAT5AToSTAT5A,Act_of_STAT5AToSTAT5A,Trd_of_MITFToSTAT5A,Num_of_MITFToSTAT5A,Act_of_MITFToSTAT5A,Trd_of_SMAD3ToTBX3,Num_of_SMAD3ToTBX3,Act_of_SMAD3ToTBX3,Trd_of_TBX3ToTBX3,Num_of_TBX3ToTBX3,Act_of_TBX3ToTBX3,Trd_of_KLF4ToTBX3,Num_of_KLF4ToTBX3,Act_of_KLF4ToTBX3,Trd_of_NFICToTBX3,Num_of_NFICToTBX3,Act_of_NFICToTBX3,Trd_of_JUNToTFE3,Num_of_JUNToTFE3,Act_of_JUNToTFE3,Trd_of_TFE3ToTFE3,Num_of_TFE3ToTFE3,Inh_of_TFE3ToTFE3,Trd_of_NFICToTFE3,Num_of_NFICToTFE3,Act_of_NFICToTFE3,Trd_of_MITFToTFE3,Num_of_MITFToTFE3,Inh_of_MITFToTFE3,Trd_of_FOSToTFE3,Num_of_FOSToTFE3,Inh_of_FOSToTFE3,Trd_of_NR3C1ToETV5,Num_of_NR3C1ToETV5,Inh_of_NR3C1ToETV5,Trd_of_ETV5ToETV5,Num_of_ETV5ToETV5,Act_of_ETV5ToETV5,Trd_of_MITFToETV5,Num_of_MITFToETV5,Act_of_MITFToETV5,Trd_of_NR2F1ToTFAP2A,Num_of_NR2F1ToTFAP2A,Act_of_NR2F1ToTFAP2A,Trd_of_MITFToTFAP2A,Num_of_MITFToTFAP2A,Act_of_MITFToTFAP2A
521,4,93.501059,84.785673,6735.497033,556.335203,21.868315,871.355614,495.910826,4680.763629,95.667173,28.314931,496.33972,55.92809,47.475965,1.317091,170.448693,63.196976,53.108812,0.409197,0.36834,0.348745,0.807226,0.227326,0.227008,0.651407,0.142453,0.761088,0.383134,0.579048,0.745578,0.556757,0.385134,0.565148,0.892408,0.265713,0.180574,6,0.062075,2.372856,4,53.471276,1.427298,5,0.014213,2.828206,2,28.327118,1.538378,6,0.095171,0.272417,5,0.011073,0.966737,2,0.055415,5.057475,2,83.965224,6.1233,3,0.014563,2.638466,5,73.387975,8.871522,5,23.506821,0.123172,6,0.062044,0.91806,3,74.446652,4.667553,6,94.425325,7.127866,6,5.371943,4.289722,1,91.371926,2.424029,2,54.583703,0.784902,4,0.024175,0.737348,6,42.248845,1.297271,1,37.604526,5.385329,6,5.088392,1.998107,3,14.408617,2.415346,1,0.065284,10.346846,2,17.945915,3.182304,4,95.774939,2.756266,5,71.700327,5.152608,2,15.312074,18.75298,2,10.976653,1.623065,2,0.018887,2.05265,4,0.028929,3.861996,1,0.028199,0.675383,4,82.480663,3.025082,2,0.014956,2.084552,5,0.01069,2.355713,6,22.037862,21.216959,6,37.899517,6.531523,3,0.014301,5.277922,4,46.79869,6.960097,4,58.278856,3.288056,5,98.399522,3.652083,6,57.238579,6.578906,5,29.738229,9.979151,6,26.343109,3.525069,5,0.011182,1.508347,6,22.769722,1.483174,6,55.698247,14.089243,4,82.361767,2.240519,6,0.010265,17.282361,6,52.872963,2.925358,2,66.218319,2.728936,3,32.060705,0.923822,2,55.925729,2.492183,5,31.687277,14.153381,5,89.95953,5.869082,2,68.701054,3.525414,5,0.016382,6.312198,6,4.433476,0.525381,1,0.276242,3.575173,1,0.021389,6.945744,4,0.012052,4.408385,3,42.059276,1.198115,1,42.725024,0.318641,1,55.887704,0.700932,6,1.704344
6366,4,30.911245,47.305734,2150.307221,786.899859,58.759278,447.59347,809.620218,4453.815797,54.969855,48.356516,569.551296,88.973998,48.518091,32.594405,848.484461,45.916912,31.388969,0.569513,0.263421,0.40457,0.191658,0.358769,0.733293,0.735552,0.713843,0.428891,0.300275,0.931694,0.843577,0.73856,0.401828,0.459057,0.569512,0.357882,3.870755,6,0.015272,7.260187,4,10.677866,3.282876,1,0.012893,2.899679,3,16.791081,1.845243,1,0.05213,2.457006,6,0.028788,3.390616,4,0.011839,5.17691,5,1.307488,1.544054,4,0.019132,0.395633,1,83.545357,52.773527,1,2.549793,1.550439,4,0.011595,4.712927,6,7.932587,0.263385,1,41.271152,5.204831,2,57.58718,6.066724,6,16.568318,1.995619,2,40.031286,3.217281,2,0.014588,0.312482,3,81.050862,1.317074,4,53.78043,6.444675,1,2.850014,0.724143,6,82.932018,0.2095,2,0.013922,57.668736,3,95.263607,4.644236,5,16.351259,3.210201,4,62.32322,1.060542,2,47.515524,18.674252,4,10.927955,3.175987,4,0.252756,3.824863,2,0.033896,3.416676,4,0.02354,3.561296,2,89.077621,4.354527,2,0.069526,1.191445,5,0.019837,1.881673,6,76.398161,32.893496,3,94.743686,5.048998,5,0.145781,10.863651,4,26.724561,6.849329,2,43.441764,1.938539,4,31.731145,3.874321,6,45.707069,6.966952,5,97.837733,14.641039,6,75.450136,3.499611,1,0.019841,0.753631,6,51.629653,0.571535,2,94.115227,5.364246,1,71.257383,0.53295,6,0.098205,7.22625,6,69.257173,2.731615,1,66.272594,6.304423,1,60.589636,1.73624,5,97.538156,1.249802,6,68.780225,9.445806,2,4.38479,6.262251,2,72.000399,2.680772,3,0.010961,8.994865,1,81.421738,1.29291,4,0.018961,2.224604,6,0.015552,1.637552,6,0.023838,3.947274,2,8.160334,0.918236,5,73.281334,1.326506,2,9.171382,1.572292,4,5.322669
9829,4,79.810323,32.727198,1111.038922,37.991774,69.94376,88.022159,988.011926,5884.44175,35.630151,36.906243,748.178639,80.685159,69.256725,5.329285,955.098457,18.00428,91.916541,0.880717,0.303715,0.860837,0.87503,0.610891,0.763268,0.469754,0.494829,0.286986,0.485567,0.753747,0.700948,0.574876,0.834698,0.823876,0.242088,0.575507,4.113299,4,0.016202,4.338556,1,69.627524,3.003705,2,0.012,1.65904,3,68.252777,1.706743,1,0.017252,3.380551,6,0.117874,1.646256,6,0.01105,0.887858,2,61.969784,6.66418,5,0.012202,2.487121,4,26.677153,46.076795,1,17.657342,2.111702,1,0.044776,3.911961,1,88.44828,0.475472,2,63.17653,3.027105,2,93.610939,1.19605,4,47.380268,2.658629,1,39.213081,3.325588,1,0.012552,0.711668,2,70.775923,1.26922,4,98.247423,5.889899,2,52.808048,1.475831,4,14.353868,1.028682,3,0.104357,29.263353,4,77.503313,0.515713,1,69.532246,3.524805,3,34.808324,5.424239,4,59.532358,4.899936,4,90.88757,2.66367,3,0.018183,1.328559,2,0.011063,6.516541,4,0.020529,5.062653,3,91.822895,6.737689,6,0.01107,1.746692,3,0.020762,2.050334,5,78.267672,32.964218,5,76.880511,0.798653,2,0.017088,18.224831,5,75.431106,5.936425,6,98.036446,0.284781,5,27.130189,5.777432,6,65.286611,2.089773,3,52.016651,10.95843,1,32.612955,1.925992,2,0.026412,7.2196,2,99.988978,1.918766,4,96.905996,0.978675,1,25.085256,2.551947,3,0.013656,14.48362,3,19.256878,0.483856,2,89.981962,2.033702,2,87.532952,1.011813,6,27.391096,2.233909,4,4.324652,13.493909,2,23.37455,4.221842,1,35.27927,3.237699,2,0.011685,7.967646,4,15.430231,3.124884,5,0.016356,1.89832,5,0.011349,1.733212,6,0.07128,4.010952,6,33.541271,0.845114,4,44.478045,0.862051,6,33.773804,0.578912,3,89.238538
6,4,39.450403,72.882423,7462.899242,56.030955,86.955066,691.900348,152.19461,9698.354368,17.114391,13.811289,386.91902,90.403826,69.525498,94.090333,11.689522,64.062262,26.311684,0.791965,0.843441,0.537628,0.681079,0.227988,0.863455,0.182727,0.521994,0.198792,0.816951,0.126846,0.831387,0.922222,0.568906,0.6619,0.891808,0.350093,0.395824,2,0.044608,15.437078,2,51.156016,1.649435,5,0.010528,2.732216,1,29.662041,1.378076,5,0.026447,3.751371,4,0.015173,6.361907,5,0.121469,5.074627,3,40.335762,16.105244,2,0.030736,0.80925,3,53.083755,18.784368,2,50.381134,0.543526,4,0.017291,1.019081,4,10.512857,4.531459,3,40.250468,1.157022,6,63.10236,3.518343,3,64.596944,2.303956,5,44.974245,1.75447,6,0.024241,0.557444,5,23.679574,5.375817,5,19.406871,4.865295,6,97.536583,1.811973,5,98.191503,2.515015,5,0.015553,31.661594,2,32.701627,0.896124,5,4.820218,6.634429,1,20.060021,7.263506,4,70.864149,16.822658,2,28.216539,2.17021,6,0.011918,3.081615,2,0.116994,1.551347,1,0.013334,5.801131,6,7.71661,2.091689,2,0.010993,1.116449,1,0.048434,1.278686,5,73.619016,25.632598,2,42.120896,1.225396,2,0.049391,0.378557,1,3.962527,0.38815,3,32.015945,3.550966,1,68.247759,3.51347,6,51.497896,4.535817,2,48.683969,2.332192,1,59.557049,2.058319,3,0.01036,3.821906,2,29.904873,2.084412,6,19.111394,9.763348,3,33.687424,1.535647,6,0.012542,24.218098,6,51.745992,0.237707,3,65.407153,6.903939,5,23.724131,0.556723,2,93.406697,2.363319,3,60.915601,7.731498,6,47.904747,6.106234,1,63.708584,4.041927,5,0.030675,1.517593,4,27.656322,1.520495,1,0.02918,3.856057,6,0.011752,4.867508,2,0.013616,3.703047,5,41.938642,0.863407,6,43.840397,1.305709,2,14.8475,1.238958,3,3.63107
9518,4,40.406494,69.513626,1833.91659,640.135174,52.132226,202.573441,744.248868,8978.763528,5.658444,85.607018,511.442314,53.43936,57.531683,49.534988,276.252881,40.194306,78.848893,0.177522,0.747492,0.402722,0.520726,0.83348,0.374937,0.965855,0.161509,0.592852,0.946757,0.753774,0.694612,0.487634,0.758368,0.36114,0.996782,0.135973,4.099556,5,0.035401,11.64924,5,84.534221,2.164473,4,0.024476,4.527633,6,70.113053,3.293473,1,0.028397,1.913296,4,0.010605,7.370462,1,0.045797,3.973475,2,75.070372,1.33224,1,0.01147,2.538851,1,76.397902,35.268235,6,34.130269,1.523538,4,0.013984,0.96425,5,77.670106,2.962481,3,23.120563,1.88646,6,64.132005,4.228826,5,94.310421,1.382223,6,67.467975,1.088598,5,0.099101,0.391427,3,97.102294,4.797624,5,83.744677,1.875461,3,24.752647,1.382345,2,31.220106,0.93719,1,0.01714,29.396629,5,15.567809,3.454975,3,80.405165,0.884728,3,88.728867,5.757592,5,10.561885,9.159273,3,97.804973,3.13276,6,0.013178,3.378087,2,0.017137,0.424458,4,0.013942,6.601873,5,63.272591,2.274201,2,0.098705,2.177551,3,0.012292,3.416813,1,99.45386,1.674632,4,8.755114,1.039607,5,0.015206,8.719202,1,29.180608,5.659254,3,63.082485,0.243306,4,34.86251,1.198462,2,39.904191,4.65317,1,74.107713,7.784421,1,55.347087,1.932036,6,0.0795,6.0675,3,44.709114,0.280497,2,56.871793,0.461367,2,88.936978,0.215155,5,0.024021,20.786507,1,71.902866,2.37648,4,80.444614,6.478102,3,83.82988,1.312025,6,90.635551,0.743858,6,90.144447,9.789123,2,23.473019,1.310437,5,81.276826,1.918663,6,0.012529,11.304755,6,11.099754,0.246945,3,0.021746,0.381257,4,0.025458,5.341064,5,0.017915,3.211148,1,33.069135,0.821164,1,1.393628,0.702688,5,55.271368,1.934966,6,86.257896
1291,4,80.35185,70.779494,4350.210462,517.411894,7.985016,598.336019,395.759739,8879.398875,81.468633,1.394994,606.99704,2.197513,30.912728,38.085866,762.443445,43.167604,3.239272,0.362392,0.566546,0.60716,0.821343,0.288606,0.739012,0.828647,0.303331,0.443589,0.70959,0.316789,0.24529,0.613241,0.861276,0.169784,0.509642,0.161382,1.709382,1,0.011456,1.330353,1,44.530452,3.806941,3,0.107632,2.638136,3,39.509743,2.658624,1,0.026425,4.385243,4,0.013529,0.602997,2,0.011486,3.969809,2,37.516231,11.942018,2,0.072007,2.5961,3,45.125261,54.480075,5,9.752465,2.583516,1,0.367564,2.716198,2,22.523044,4.608,1,61.042051,3.887007,3,89.422824,4.313171,1,31.029715,0.210846,2,12.751068,0.526082,4,0.011859,0.097055,3,1.142072,2.99905,6,60.422732,1.220121,2,41.984247,2.087058,5,40.320344,1.411182,4,0.01252,3.327814,1,15.489037,0.446437,5,44.704654,0.617506,4,34.327619,1.044792,1,41.99229,7.459173,3,59.217317,2.616597,5,0.017313,2.367704,2,0.012927,2.916383,4,0.018592,5.527625,2,47.500889,4.745949,5,0.01677,2.08963,2,0.019459,2.51291,3,92.272251,56.987258,5,49.772914,3.820794,3,0.015957,6.002357,2,92.7654,4.608595,1,18.309137,4.359667,5,90.822761,2.283693,4,71.927817,4.650085,3,77.908562,13.502416,6,84.336624,3.225582,6,0.085857,4.239989,6,56.981906,1.036083,4,92.523914,14.840823,2,74.364818,0.433221,6,0.018813,20.516412,3,9.162741,2.563586,4,43.721973,0.945967,3,76.130723,1.288626,6,37.545251,1.877753,2,46.331442,17.717161,5,40.936922,0.192081,1,48.11043,3.185696,5,0.012763,13.463127,6,44.167683,2.782819,6,0.010876,1.942681,1,0.012462,1.086649,4,0.100004,4.87034,3,91.402811,1.338664,3,40.37191,1.640535,5,89.828898,0.582895,5,22.699151
3705,4,50.351891,26.655594,2907.866662,838.166221,16.998139,344.893578,151.792551,7107.166721,98.868674,87.473988,992.770772,14.782741,14.253049,63.444302,898.775371,5.040406,83.288483,0.629051,0.345765,0.217315,0.784833,0.737956,0.261202,0.508196,0.660377,0.242283,0.861218,0.886252,0.31465,0.110733,0.763323,0.186911,0.525426,0.185336,4.087943,2,0.028621,0.491028,6,98.229327,0.210465,3,0.018112,5.214259,2,29.745187,1.847625,6,0.026769,3.450059,5,0.013326,6.669484,5,0.024986,4.744186,1,50.745291,4.92604,6,0.013149,2.384241,3,60.439596,25.803797,1,92.917679,1.696488,2,0.108657,3.875361,6,23.512458,2.248025,5,92.212379,3.894392,4,30.21698,7.147265,3,53.516363,2.337689,3,1.822356,1.053225,2,0.018555,2.484647,2,11.390787,6.564879,5,10.737092,5.102955,2,67.629191,0.427458,1,62.404308,2.177306,4,0.019153,6.316909,3,37.950663,0.125719,5,65.045086,4.671087,6,84.538985,3.650673,2,29.244767,17.409709,1,38.587073,3.507042,2,0.018389,2.003095,6,0.015368,1.576349,1,0.071438,3.886468,2,57.409127,3.742258,4,0.142212,1.06363,2,0.011478,2.864777,4,83.49487,46.579731,3,17.866714,3.216611,6,0.011123,6.854742,1,15.919891,6.536031,6,83.386996,1.563292,4,95.693465,6.103287,5,51.474212,2.31978,2,90.979902,3.16936,3,55.318631,2.328864,1,0.018577,0.341461,1,58.746324,0.895929,4,3.898683,2.232496,3,77.60756,3.145297,6,0.011182,4.161317,5,17.43505,1.519306,3,69.278699,5.608965,5,72.134397,2.120794,3,19.089851,2.154921,5,64.73966,9.985687,4,85.410736,6.64312,1,27.935946,0.697389,4,0.013495,1.428936,6,10.313385,3.008456,1,0.019164,2.012537,1,0.022481,2.960833,4,0.109088,5.582141,6,68.759054,1.910727,6,5.293332,0.039891,5,48.027129,1.899148,6,64.714476
811,4,47.629324,68.637355,9720.313069,707.334113,27.975364,959.872344,927.49725,923.714661,12.713648,1.374887,26.333677,19.581652,39.174409,20.591764,871.802533,50.326515,98.535335,0.144429,0.803213,0.843253,0.543782,0.610997,0.490339,0.797235,0.120566,0.835906,0.835062,0.685936,0.703896,0.661476,0.568791,0.719748,0.784389,0.535195,3.806051,6,0.013853,13.82754,4,35.342222,0.623257,3,0.036772,2.539637,6,46.824812,0.873875,6,0.026172,1.025938,1,0.017214,4.515948,3,0.062326,2.930899,5,80.904706,3.829711,2,0.025852,1.108523,6,16.866779,41.404232,3,77.857506,1.862025,2,0.172148,0.959681,6,80.393775,6.334557,2,28.353716,5.948216,5,96.905966,1.343921,2,39.743291,1.439715,4,40.302068,3.252202,4,0.011449,1.625861,5,65.864143,0.526849,5,34.343688,4.071055,5,85.119538,1.582334,6,8.492359,0.792793,1,0.01711,32.438116,5,19.017136,3.375087,4,88.946382,1.414773,5,41.104583,6.250444,6,7.221392,8.01968,4,69.156015,2.195143,2,0.012763,1.714937,6,0.015426,5.636911,2,0.082278,4.619094,2,1.294387,1.685978,4,0.017099,1.192385,3,0.016463,2.151351,5,23.64782,31.186777,6,16.127165,1.428674,1,0.067226,19.6509,3,58.232739,2.602861,5,74.083243,3.75292,2,4.059844,4.483001,2,85.556144,0.209965,5,34.640396,10.624006,3,89.897497,3.560266,3,0.016551,5.157213,1,80.391517,0.215125,5,21.569441,7.152903,2,95.683173,0.552427,6,0.019075,20.027853,3,21.947869,2.571807,1,31.196918,6.424801,1,58.312297,1.190994,3,83.116995,0.351973,4,69.59915,4.211106,2,96.884777,0.273472,3,19.507702,2.988496,5,0.011981,14.81515,2,50.990127,2.041761,4,0.196205,1.356895,3,0.021404,3.775379,2,0.014647,1.191792,5,43.516557,0.726637,3,3.691527,1.040559,5,22.686704,2.22626,6,53.150083
4894,4,96.523557,96.566239,8741.805322,305.676749,33.971714,139.372034,142.315523,7725.680149,61.504632,59.667712,668.739009,93.630722,98.176722,22.641696,991.224827,43.900142,39.812554,0.292565,0.58405,0.342082,0.171984,0.195506,0.160862,0.306875,0.962693,0.384894,0.336363,0.881077,0.97947,0.936182,0.753754,0.335754,0.309015,0.123216,4.102842,6,0.01495,3.747787,1,20.369547,3.902542,1,0.015184,1.492697,1,61.282869,2.157342,3,0.016767,0.377133,6,0.027662,3.666279,4,0.029231,6.201627,1,7.112111,7.932315,3,0.017113,2.485321,2,90.049933,44.202728,1,99.498222,0.569748,6,0.012904,2.529283,5,82.71473,5.588792,3,65.654754,6.92102,2,52.606359,5.427162,4,59.898615,0.665138,1,54.478132,3.297639,2,0.016545,2.470918,3,27.42051,3.111629,5,30.558759,2.912686,4,32.55616,1.132103,2,22.508513,2.887738,2,0.020616,12.37937,3,47.143808,2.475613,2,17.023629,1.409267,4,36.849389,3.9191,5,45.779617,9.191335,4,44.987241,0.332095,2,0.420663,1.270141,4,0.016059,5.207043,3,0.078312,4.127797,6,14.688206,4.460199,2,0.013531,2.057141,3,0.064356,1.557682,5,39.103375,31.49431,4,82.903831,5.245055,3,0.023231,10.543626,2,71.979835,3.8235,3,11.616692,2.985037,4,27.282142,1.797838,1,86.135557,3.950401,3,21.092639,16.970935,3,65.124137,3.118296,5,0.026657,6.831621,1,31.960074,1.379841,3,99.155227,9.701123,6,31.94459,0.299898,1,0.021548,7.801914,5,46.903929,3.419599,3,36.751115,3.73348,4,32.228338,1.540364,2,93.750551,1.365157,2,85.200271,8.897847,1,41.559795,4.358861,6,33.176394,4.026613,5,0.051953,5.791514,6,61.066684,3.489634,6,0.018395,3.314881,3,0.104831,1.697172,2,0.045683,4.75018,3,49.256277,2.884985,5,54.550145,0.547089,4,17.532109,2.843825,3,31.806014
3935,4,49.291276,19.919765,221.378469,304.562119,61.046288,376.662514,321.003156,6990.711855,87.65397,96.631814,585.758423,60.682793,10.885443,14.027087,955.178983,36.018146,11.205745,0.898181,0.151106,0.878033,0.105703,0.34622,0.727196,0.3813,0.301698,0.357453,0.390658,0.562559,0.950841,0.907749,0.88043,0.117246,0.215818,0.360222,2.396273,5,0.032366,17.905341,1,76.40485,2.458703,2,0.080096,2.72955,6,52.66833,3.493202,2,0.169067,3.909375,2,0.200017,3.330719,6,0.013383,4.97286,6,20.774682,8.58873,6,0.022347,3.638638,5,65.808043,46.455751,5,63.89399,3.7584,1,0.106577,3.246528,6,50.480992,1.978072,6,98.884205,5.533982,6,55.828428,5.757495,6,68.227375,0.323568,4,22.053718,2.805715,6,0.014066,1.515462,4,41.287492,3.487562,1,94.675014,3.43033,2,74.633211,0.341603,3,39.48146,0.519511,3,0.046667,47.884448,5,77.887096,3.773496,1,56.151736,4.832679,1,55.548096,6.60999,5,95.677709,10.029172,6,63.42794,2.739517,5,0.014724,4.571609,4,0.011579,2.068787,1,0.017776,2.572174,2,59.177218,0.13786,2,0.019567,0.559503,2,0.016158,2.217643,3,69.912965,11.043472,3,42.737107,2.993883,4,0.240559,18.341283,4,43.424614,1.672364,4,7.28216,4.278919,6,62.135608,5.221446,4,57.632398,2.475101,6,80.008024,18.647343,4,90.432702,1.790637,1,0.011622,3.950531,6,59.500959,1.90976,3,55.548776,13.038302,1,8.914593,2.093881,5,0.046489,17.630794,3,57.234724,1.447709,5,63.391727,3.779352,3,76.382418,1.178003,6,47.161721,0.484946,3,87.099499,2.218105,4,49.514301,4.565998,5,60.180516,4.358489,6,0.015369,6.353486,2,60.124227,0.248702,5,0.028261,2.73763,1,0.024088,0.33687,1,0.019226,0.230563,4,54.359771,3.392946,3,69.665741,0.172019,3,9.588794,2.722142,6,53.437701
