"","Index","Number of steady states","Prod_of_AHR","Prod_of_NFIC","Prod_of_FOS","Prod_of_KLF4","Prod_of_FOXF1","Prod_of_JUN","Prod_of_SMAD3","Prod_of_MITF","Prod_of_SMAD4","Prod_of_MAFB","Prod_of_NR3C1","Prod_of_NR2F1","Prod_of_STAT5A","Prod_of_TBX3","Prod_of_TFE3","Prod_of_ETV5","Prod_of_TFAP2A","Deg_of_AHR","Deg_of_NFIC","Deg_of_FOS","Deg_of_KLF4","Deg_of_FOXF1","Deg_of_JUN","Deg_of_SMAD3","Deg_of_MITF","Deg_of_SMAD4","Deg_of_MAFB","Deg_of_NR3C1","Deg_of_NR2F1","Deg_of_STAT5A","Deg_of_TBX3","Deg_of_TFE3","Deg_of_ETV5","Deg_of_TFAP2A","Trd_of_AHRToAHR","Num_of_AHRToAHR","Inh_of_AHRToAHR","Trd_of_NFICToAHR","Num_of_NFICToAHR","Act_of_NFICToAHR","Trd_of_FOSToAHR","Num_of_FOSToAHR","Inh_of_FOSToAHR","Trd_of_NR3C1ToNFIC","Num_of_NR3C1ToNFIC","Act_of_NR3C1ToNFIC","Trd_of_MITFToNFIC","Num_of_MITFToNFIC","Inh_of_MITFToNFIC","Trd_of_AHRToFOS","Num_of_AHRToFOS","Inh_of_AHRToFOS","Trd_of_NR3C1ToFOS","Num_of_NR3C1ToFOS","Inh_of_NR3C1ToFOS","Trd_of_SMAD3ToFOS","Num_of_SMAD3ToFOS","Act_of_SMAD3ToFOS","Trd_of_NFICToFOS","Num_of_NFICToFOS","Inh_of_NFICToFOS","Trd_of_MITFToFOS","Num_of_MITFToFOS","Act_of_MITFToFOS","Trd_of_SMAD4ToFOS","Num_of_SMAD4ToFOS","Act_of_SMAD4ToFOS","Trd_of_FOSToFOS","Num_of_FOSToFOS","Inh_of_FOSToFOS","Trd_of_AHRToKLF4","Num_of_AHRToKLF4","Act_of_AHRToKLF4","Trd_of_JUNToKLF4","Num_of_JUNToKLF4","Act_of_JUNToKLF4","Trd_of_NR3C1ToKLF4","Num_of_NR3C1ToKLF4","Act_of_NR3C1ToKLF4","Trd_of_SMAD3ToKLF4","Num_of_SMAD3ToKLF4","Act_of_SMAD3ToKLF4","Trd_of_TBX3ToKLF4","Num_of_TBX3ToKLF4","Act_of_TBX3ToKLF4","Trd_of_MITFToKLF4","Num_of_MITFToKLF4","Inh_of_MITFToKLF4","Trd_of_KLF4ToFOXF1","Num_of_KLF4ToFOXF1","Act_of_KLF4ToFOXF1","Trd_of_JUNToJUN","Num_of_JUNToJUN","Act_of_JUNToJUN","Trd_of_SMAD3ToJUN","Num_of_SMAD3ToJUN","Act_of_SMAD3ToJUN","Trd_of_KLF4ToJUN","Num_of_KLF4ToJUN","Act_of_KLF4ToJUN","Trd_of_MITFToJUN","Num_of_MITFToJUN","Inh_of_MITFToJUN","Trd_of_SMAD4ToJUN","Num_of_SMAD4ToJUN","Act_of_SMAD4ToJUN","Trd_of_AHRToSMAD3","Num_of_AHRToSMAD3","Act_of_AHRToSMAD3","Trd_of_JUNToSMAD3","Num_of_JUNToSMAD3","Act_of_JUNToSMAD3","Trd_of_NR3C1ToSMAD3","Num_of_NR3C1ToSMAD3","Act_of_NR3C1ToSMAD3","Trd_of_NFICToSMAD3","Num_of_NFICToSMAD3","Act_of_NFICToSMAD3","Trd_of_FOSToSMAD3","Num_of_FOSToSMAD3","Inh_of_FOSToSMAD3","Trd_of_AHRToMITF","Num_of_AHRToMITF","Inh_of_AHRToMITF","Trd_of_JUNToMITF","Num_of_JUNToMITF","Inh_of_JUNToMITF","Trd_of_NR3C1ToMITF","Num_of_NR3C1ToMITF","Act_of_NR3C1ToMITF","Trd_of_SMAD3ToMITF","Num_of_SMAD3ToMITF","Inh_of_SMAD3ToMITF","Trd_of_KLF4ToMITF","Num_of_KLF4ToMITF","Inh_of_KLF4ToMITF","Trd_of_MITFToMITF","Num_of_MITFToMITF","Act_of_MITFToMITF","Trd_of_SMAD4ToMITF","Num_of_SMAD4ToMITF","Act_of_SMAD4ToMITF","Trd_of_NR3C1ToSMAD4","Num_of_NR3C1ToSMAD4","Inh_of_NR3C1ToSMAD4","Trd_of_MAFBToMAFB","Num_of_MAFBToMAFB","Act_of_MAFBToMAFB","Trd_of_NR3C1ToMAFB","Num_of_NR3C1ToMAFB","Act_of_NR3C1ToMAFB","Trd_of_AHRToNR3C1","Num_of_AHRToNR3C1","Act_of_AHRToNR3C1","Trd_of_JUNToNR3C1","Num_of_JUNToNR3C1","Act_of_JUNToNR3C1","Trd_of_SMAD3ToNR3C1","Num_of_SMAD3ToNR3C1","Act_of_SMAD3ToNR3C1","Trd_of_NFICToNR3C1","Num_of_NFICToNR3C1","Act_of_NFICToNR3C1","Trd_of_FOSToNR3C1","Num_of_FOSToNR3C1","Inh_of_FOSToNR3C1","Trd_of_NR3C1ToNR2F1","Num_of_NR3C1ToNR2F1","Act_of_NR3C1ToNR2F1","Trd_of_KLF4ToNR2F1","Num_of_KLF4ToNR2F1","Act_of_KLF4ToNR2F1","Trd_of_NFICToNR2F1","Num_of_NFICToNR2F1","Act_of_NFICToNR2F1","Trd_of_FOSToNR2F1","Num_of_FOSToNR2F1","Inh_of_FOSToNR2F1","Trd_of_STAT5AToSTAT5A","Num_of_STAT5AToSTAT5A","Act_of_STAT5AToSTAT5A","Trd_of_MITFToSTAT5A","Num_of_MITFToSTAT5A","Act_of_MITFToSTAT5A","Trd_of_SMAD3ToTBX3","Num_of_SMAD3ToTBX3","Act_of_SMAD3ToTBX3","Trd_of_TBX3ToTBX3","Num_of_TBX3ToTBX3","Act_of_TBX3ToTBX3","Trd_of_KLF4ToTBX3","Num_of_KLF4ToTBX3","Act_of_KLF4ToTBX3","Trd_of_NFICToTBX3","Num_of_NFICToTBX3","Act_of_NFICToTBX3","Trd_of_JUNToTFE3","Num_of_JUNToTFE3","Act_of_JUNToTFE3","Trd_of_TFE3ToTFE3","Num_of_TFE3ToTFE3","Inh_of_TFE3ToTFE3","Trd_of_NFICToTFE3","Num_of_NFICToTFE3","Act_of_NFICToTFE3","Trd_of_MITFToTFE3","Num_of_MITFToTFE3","Inh_of_MITFToTFE3","Trd_of_FOSToTFE3","Num_of_FOSToTFE3","Inh_of_FOSToTFE3","Trd_of_NR3C1ToETV5","Num_of_NR3C1ToETV5","Inh_of_NR3C1ToETV5","Trd_of_ETV5ToETV5","Num_of_ETV5ToETV5","Act_of_ETV5ToETV5","Trd_of_MITFToETV5","Num_of_MITFToETV5","Act_of_MITFToETV5","Trd_of_NR2F1ToTFAP2A","Num_of_NR2F1ToTFAP2A","Act_of_NR2F1ToTFAP2A","Trd_of_MITFToTFAP2A","Num_of_MITFToTFAP2A","Act_of_MITFToTFAP2A"
"1027",1027,5,79.160505,82.492265,1479.300493,428.446959,51.504519,339.252794,211.608903,1879.326594,5.619144,65.699011,435.557993,9.810842,39.951834,31.0535,875.186283,81.363714,98.70461,0.711908,0.606602,0.187304,0.194461,0.107708,0.970156,0.105909,0.744386,0.727131,0.701278,0.325964,0.953846,0.700873,0.165861,0.992008,0.380993,0.706748,1.445268,3,0.014688,7.13252,3,32.507007,0.683072,3,0.015606,6.330918,1,68.280201,2.973282,1,0.055875,1.400381,1,0.047445,3.047833,5,0.010863,1.226027,5,27.308864,18.532023,3,0.052416,1.331475,4,1.389821,35.933161,1,79.318899,3.073405,5,0.018367,1.253848,1,84.62165,5.265589,6,70.949767,2.096172,3,13.527273,2.685567,6,6.318661,0.908219,1,70.206592,3.422252,4,0.011855,0.357011,5,26.910096,3.24214,4,91.987765,1.08655,2,78.817055,1.30499,6,55.907009,3.140001,1,0.01514,41.061235,4,40.908233,1.53292,2,14.603799,3.216324,4,35.101876,1.479176,5,41.201777,5.754393,3,79.664371,3.525001,3,0.011633,3.019146,4,0.011667,1.901778,1,0.027399,6.867886,6,64.9108,4.586593,3,0.011751,1.729852,5,0.011937,0.352954,1,78.433851,24.884523,4,41.722424,3.101248,1,0.010408,19.345904,4,86.79547,3.708693,2,9.573289,2.7359,3,9.310797,1.116009,1,12.981104,1.369725,4,35.449726,5.115382,5,30.57447,3.921484,6,0.01243,0.414327,4,55.465136,1.256518,1,51.97419,14.568746,5,85.446569,3.852788,5,0.011165,9.8596,5,10.474261,1.210383,6,72.323406,3.379598,4,77.093342,2.23256,2,9.816709,0.590559,3,13.386603,17.42824,1,98.585104,6.250203,3,88.691054,2.557187,3,0.010079,16.067893,5,50.139041,0.915492,4,0.017286,3.348459,3,0.019186,3.890928,4,0.809885,0.128858,6,3.709761,2.739803,3,22.874381,1.04046,6,41.489867,1.256127,2,51.591014
"1850",1850,5,22.76736,39.093777,4957.420895,272.021373,2.081827,357.876071,921.674993,5919.064512,99.155093,50.425376,142.340526,95.76673,98.204326,65.276789,679.969877,58.772957,5.151087,0.493096,0.699081,0.29804,0.33989,0.949936,0.929067,0.755828,0.114085,0.808229,0.795708,0.879819,0.715497,0.365056,0.93016,0.403067,0.785286,0.499787,2.43793,5,0.018738,3.515002,3,54.032187,2.606717,2,0.011154,3.547792,6,76.548156,2.172774,6,0.014199,1.282691,6,0.019086,2.537164,3,0.012736,5.882894,1,59.111165,7.028479,6,0.025457,2.510434,3,35.596215,11.365142,2,2.085051,2.424242,3,0.038476,1.731924,1,90.727474,3.349772,5,51.617344,2.881395,6,99.956893,5.91603,6,49.198464,1.232713,4,27.997555,0.541518,6,0.159292,0.741935,4,19.345408,4.873812,3,80.334551,3.198661,6,82.171922,0.028457,2,23.726222,3.45069,5,0.013308,0.654522,5,89.131035,3.210571,3,90.142297,6.56076,3,48.131948,5.968256,1,68.270585,12.781864,5,39.593051,0.568668,1,0.011902,2.475847,5,0.567944,4.465019,3,0.023196,1.821012,4,2.454153,1.84981,1,0.011963,2.056703,2,0.025148,0.155877,5,97.546105,47.84422,3,80.021246,0.386891,6,0.017875,0.28968,1,59.803805,0.473271,1,70.571852,4.035174,4,86.835346,1.195716,1,10.505959,3.764265,2,98.104926,17.034826,2,27.697967,1.170464,4,0.060539,5.515425,5,14.776162,1.023458,3,92.69071,8.071782,5,1.811581,3.330383,3,0.022258,21.285075,6,73.503522,1.994675,2,28.304492,0.734879,6,9.037031,0.701593,4,74.460914,2.09246,1,19.010306,6.517137,1,5.50703,2.232928,6,67.220486,0.114127,6,0.016617,18.536523,2,69.135916,1.045048,1,0.192218,3.546175,3,0.017672,4.682244,5,0.025733,5.098174,6,65.068859,0.513861,1,48.289542,1.718182,3,4.760333,2.417555,6,49.012587
"4552",4552,5,17.40484,75.508531,1014.033798,246.00588,37.09466,212.390052,212.933872,9540.023827,49.46475,60.48258,454.903482,22.100947,2.118415,14.734662,257.87473,29.445668,38.24147,0.608155,0.787468,0.305358,0.345428,0.689543,0.453899,0.480594,0.790699,0.447385,0.177063,0.182121,0.760873,0.201566,0.610564,0.678962,0.994115,0.561751,3.495403,5,0.026041,5.71871,6,97.887767,0.587975,5,0.011477,2.359575,6,63.380885,0.433251,2,0.013413,0.443871,2,0.013213,0.856555,6,0.044808,0.217959,4,51.992133,10.836618,5,0.010851,3.024376,6,19.248653,17.359682,2,39.471408,0.500458,4,0.011192,1.309197,4,58.607742,2.665909,5,27.615374,2.828826,1,35.494308,1.188233,3,44.157234,0.203378,1,9.968376,0.584926,4,0.011383,0.30674,6,56.623126,1.988064,6,43.84852,6.068079,5,2.574363,2.04734,1,25.92281,0.905894,1,0.021096,5.834331,4,12.333137,1.404971,1,39.530056,0.267675,5,31.104001,1.904832,1,25.630865,11.109551,5,14.292191,0.441524,5,0.016588,4.662562,3,0.025875,0.324945,1,0.026999,6.422593,5,83.062978,6.171567,6,0.010573,0.775985,6,0.123389,0.802513,4,23.350187,30.214774,3,71.159474,7.308338,4,0.015232,10.37881,4,82.972802,2.908151,6,7.893832,3.369472,4,39.019302,5.760154,2,17.977158,5.090629,1,6.645875,9.022195,5,30.92415,3.508162,3,0.045895,1.960774,4,68.984267,0.048507,2,91.282398,0.632285,3,50.868059,3.062501,3,0.018786,18.856024,1,9.975921,0.187442,3,98.869237,0.258828,2,55.497379,1.905403,5,40.958273,1.31705,4,74.337254,13.64045,3,99.55498,2.759998,6,18.998495,1.93987,6,0.019894,12.371635,2,21.741214,1.820493,3,0.014414,2.726703,3,0.015795,2.688324,4,0.01388,5.012397,4,86.970651,2.573826,4,75.219635,0.909902,3,42.427555,0.762366,3,86.128943
"5493",5493,5,94.700692,52.098276,9849.230839,63.215003,6.538413,234.940922,476.344385,7691.193153,25.944143,30.698184,732.305896,54.875113,59.63143,85.635318,876.789855,6.725323,90.749013,0.893658,0.172123,0.309781,0.640981,0.701229,0.849755,0.745405,0.84342,0.314367,0.905942,0.207739,0.632902,0.943772,0.799317,0.784704,0.544629,0.293514,3.947707,1,0.016415,1.264595,6,45.552448,2.820957,1,0.012982,4.853248,6,51.635623,2.752141,2,0.012432,3.429056,2,0.013295,0.613559,3,0.029194,2.48125,3,79.387486,14.124227,6,0.012626,3.550999,1,81.15196,44.598381,1,2.645767,1.023002,2,0.013076,0.948702,6,20.993996,6.335874,3,14.453776,2.350562,4,96.767844,4.930463,4,41.687004,0.440372,5,30.840708,0.670816,5,0.087372,2.121118,3,7.869312,0.77297,5,43.741969,2.020588,1,14.117006,0.490377,1,49.33067,0.59473,4,0.019174,58.604405,1,42.438788,2.448025,4,12.568207,5.867466,3,6.796325,0.971226,4,15.55533,15.735951,6,29.535975,1.929211,5,0.011217,1.718681,3,0.030455,4.500172,5,0.030879,6.205045,2,27.3001,4.475008,4,0.011953,0.70874,4,0.01802,0.271071,2,50.586921,58.072729,3,14.397738,0.456696,5,0.012187,14.0168,1,92.873168,1.908373,3,1.819822,1.78411,3,91.178924,1.159206,3,69.834115,4.333961,2,21.901965,0.485386,6,14.748128,0.953628,2,0.014332,6.61334,6,17.525154,1.570469,5,15.062645,2.726709,2,22.108184,2.238033,3,0.104742,0.683039,1,19.354125,2.831536,2,61.561811,5.297795,2,89.558709,1.750899,2,75.877557,2.374501,3,63.119065,16.846771,4,62.46757,6.433319,4,86.592491,1.494866,1,0.015193,10.859411,3,55.984122,2.699931,6,0.074409,1.561599,3,0.015131,5.492165,1,0.119435,1.984876,6,34.288826,2.905191,2,58.376792,0.949345,2,29.008708,2.474622,2,20.768533
"6568",6568,5,30.502611,42.908352,6386.02407,193.634781,33.06825,210.777389,487.512288,7155.618649,68.027234,57.42616,927.737453,88.119324,1.864295,93.661282,716.216171,40.797939,20.085599,0.568247,0.233449,0.801053,0.230971,0.972809,0.697587,0.440681,0.242286,0.714122,0.955524,0.330186,0.961155,0.724474,0.766622,0.131132,0.201309,0.332601,4.472494,3,0.01461,15.254275,1,78.842262,2.137932,5,0.216516,7.219453,1,70.392522,0.960987,6,0.012372,1.03053,1,0.015264,7.230415,5,0.069948,2.648119,5,38.313739,18.547465,5,0.145896,3.025375,4,15.339383,15.170244,1,24.152141,1.88799,6,0.09619,1.927137,5,59.186464,5.280364,5,2.205314,2.810477,1,61.113649,5.143048,3,87.071811,0.609604,3,67.314232,1.724938,2,0.209783,0.187937,1,2.887681,2.328921,5,54.007668,2.039923,1,81.629836,2.335237,5,96.496501,2.486928,4,0.020127,5.792037,2,56.368113,1.775891,6,89.770003,3.933892,2,74.983216,1.762282,5,97.108521,1.447433,5,86.018042,2.216591,6,0.01214,3.947277,3,0.011936,0.693974,5,0.01124,4.652041,2,57.437414,3.410749,4,0.046021,0.348545,3,0.013648,2.867859,3,85.949404,28.113867,6,17.803868,3.99686,6,0.010418,8.032401,6,46.353249,2.860222,3,28.976257,3.53577,2,79.218162,1.197368,3,43.038516,6.640841,2,50.031685,14.890303,4,43.680878,0.869485,4,0.032844,2.34639,1,60.499783,0.465601,1,25.516141,18.111033,4,21.572154,1.993891,6,0.017167,21.912687,3,99.55139,0.306217,6,30.61423,3.158863,3,69.352079,1.364559,4,95.285536,0.091889,2,74.017802,0.409848,3,35.575832,1.242591,5,80.444562,2.403778,5,0.01935,0.258576,3,39.534297,1.833109,3,0.016408,1.100234,6,0.010112,5.440725,5,0.035004,3.702822,6,17.826654,0.677583,5,97.146195,1.735592,4,39.475565,0.855797,4,27.096151
"6613",6613,5,72.077297,63.869784,8315.393258,759.109027,56.189557,383.826056,915.325008,932.131387,19.227655,38.070207,160.186582,90.262664,57.724195,84.313318,389.551313,40.324709,62.506233,0.528743,0.622058,0.941108,0.202726,0.955916,0.906818,0.23684,0.823256,0.762999,0.290509,0.130609,0.95007,0.673436,0.175448,0.334991,0.197992,0.352072,0.41501,5,0.036304,0.396138,4,42.316267,1.819485,2,0.031296,3.63938,1,32.02412,0.65562,1,0.022126,3.618372,4,0.016461,5.249207,5,0.16751,0.299643,6,29.657993,0.741731,6,0.044944,3.256848,2,93.164941,17.098818,1,35.618486,0.845944,2,0.021194,0.956931,4,49.126409,3.989978,5,45.228957,1.332556,2,99.65061,2.683611,3,59.548053,0.857267,3,47.10736,3.627139,2,0.023416,2.190739,4,42.22046,0.303818,6,72.84155,2.300889,4,1.775302,1.077166,3,23.005925,3.321725,5,0.118452,44.700021,6,11.200849,0.87687,1,51.517491,0.873584,6,77.352814,2.158715,5,96.654666,8.783929,6,87.241342,1.01218,4,0.01346,4.381631,6,0.010827,4.43791,2,0.071972,3.299506,6,14.043974,0.730373,5,0.01294,1.432042,2,0.022252,2.70095,3,56.451307,21.586405,6,93.556386,3.493549,5,0.011576,11.62773,6,55.80606,1.521717,4,92.375436,4.709369,5,62.004899,4.256594,6,77.193386,3.999377,3,31.554161,13.479664,3,39.96045,0.73997,5,0.010985,1.847531,1,74.21862,1.747825,4,51.069188,6.085345,6,99.844985,1.560497,6,0.045572,11.027017,4,49.309471,3.216359,6,50.685092,6.251002,5,43.949014,0.243425,1,85.641566,1.887041,5,66.41375,14.112277,4,61.574854,1.825734,6,16.907608,2.937303,1,0.011444,1.220129,2,87.863939,3.407877,5,0.028179,3.194058,5,0.014356,6.956937,4,0.039334,0.910981,5,33.842649,2.397723,2,8.234754,1.012268,6,36.11363,1.725124,1,47.94193
"6735",6735,5,49.63601,91.257762,9879.320769,407.022626,62.644562,460.704179,739.544703,5704.271875,36.604175,67.506748,514.562658,26.822499,40.319659,15.747881,729.668533,29.355537,29.002857,0.833774,0.494753,0.36922,0.32935,0.591663,0.900511,0.822118,0.631664,0.342854,0.565727,0.547219,0.735325,0.381093,0.948,0.507491,0.50813,0.190194,2.410512,4,0.020565,14.578167,1,35.830149,1.93408,1,0.021383,5.488527,1,94.561127,1.783598,6,0.025444,2.389086,1,0.01765,0.692356,1,0.01622,4.278604,6,37.64986,3.918313,2,0.034192,2.564783,5,91.206807,12.330905,1,60.606504,1.667245,4,0.200761,2.41412,5,7.475314,5.703869,2,54.702799,1.460371,3,91.276077,1.360402,1,65.881097,0.653743,6,2.971125,1.375496,6,0.039281,0.870262,6,86.304579,5.69147,2,23.517459,4.075552,1,22.096624,2.266801,5,66.140609,1.302421,3,0.01536,40.742852,5,1.944883,1.58085,4,57.879088,1.558863,3,65.248038,0.514082,6,46.750463,4.821683,1,85.750109,0.662824,4,0.18408,0.918853,1,0.037284,1.304921,5,0.137206,1.347351,1,79.058447,1.704928,4,0.014843,0.191147,5,0.020814,3.080313,2,11.007585,41.898401,2,39.708921,5.413677,1,0.045707,14.183227,5,50.471606,6.271988,1,69.085565,4.143574,1,11.715286,6.559268,2,56.400124,4.154138,1,70.528798,11.686588,4,46.917737,2.527726,6,0.021766,5.006969,6,31.331206,0.288991,3,1.662807,0.657191,2,76.624341,1.906917,2,0.013847,15.850227,5,39.135314,3.083653,1,51.317759,5.138511,5,69.282947,1.059853,2,22.306796,2.045907,4,45.804939,5.745035,1,83.774376,3.727417,4,50.141075,3.776936,6,0.013661,5.701414,3,86.333751,1.947249,2,0.01275,3.933954,4,0.049556,7.443773,5,0.015694,5.079347,6,71.461222,0.485554,4,88.694067,0.118781,3,5.652733,1.219769,4,39.118612
"6919",6919,5,11.741421,72.180169,7684.614849,441.321191,64.582205,236.916683,911.483296,1481.833255,27.861929,47.345396,840.808621,14.261775,43.271174,81.8131,94.681031,57.337418,11.800594,0.133937,0.45348,0.460688,0.385436,0.73406,0.631325,0.164485,0.676931,0.729681,0.589926,0.855508,0.792288,0.646554,0.191187,0.19809,0.406444,0.298143,3.032245,5,0.011728,5.090905,2,65.613937,2.000398,4,0.015405,3.168101,4,52.612475,3.094919,6,0.025037,2.92155,4,0.013728,2.334073,5,0.100404,1.154472,4,56.842496,17.062101,1,0.033277,1.649792,5,34.370276,20.210212,2,1.833851,0.303373,5,0.016245,0.992687,1,75.123416,1.660314,6,54.592587,4.094001,4,76.063687,6.198854,5,30.409194,0.407996,3,48.959015,0.437592,3,0.010819,0.865074,5,29.398893,5.088189,4,19.439894,1.524301,6,86.217666,0.857733,3,59.357473,2.638223,3,0.029625,17.420858,6,18.937691,4.520638,2,5.677459,0.876989,1,57.335342,2.391442,5,77.560471,4.475804,1,65.842053,3.829358,6,0.011671,2.66442,3,0.018694,1.955992,3,0.027087,4.052482,6,56.329227,0.498255,2,0.170309,0.827888,3,0.098193,2.256587,3,92.037199,52.282955,4,85.919841,5.067202,2,0.031299,0.658859,1,59.831572,0.708112,1,17.753537,3.47583,2,79.482462,6.187141,1,29.202814,2.721896,5,67.027987,0.798982,2,9.754252,0.585973,5,0.017402,4.526187,4,18.608137,2.483105,5,98.122758,17.409459,5,58.146399,1.292273,6,0.179131,22.250228,6,30.519977,0.798921,6,47.542137,5.992166,4,89.428647,2.451177,6,42.503668,1.40644,4,49.572286,5.756469,3,32.507384,4.894328,4,25.696776,4.007151,5,0.014729,14.715661,2,48.918576,1.648088,6,0.139364,2.481921,4,0.012958,1.962752,3,0.013377,5.9555,5,82.290058,1.159355,4,43.252412,0.77308,1,29.444094,3.230379,2,62.286903
"7213",7213,5,44.586756,20.395682,7495.449893,179.826321,80.35491,942.405949,480.061855,5121.484976,86.497981,84.786446,81.203503,48.985002,57.535333,52.530423,150.882645,41.272116,55.505112,0.846342,0.815939,0.679934,0.466106,0.8958,0.774454,0.685138,0.880573,0.64566,0.682492,0.964209,0.679916,0.988741,0.56208,0.10038,0.983271,0.758601,4.310542,4,0.05346,13.513699,2,49.95722,1.040682,2,0.022128,6.388532,5,29.308799,1.233795,4,0.010846,1.641211,6,0.072726,2.205768,4,0.013106,4.041066,5,63.267033,15.30476,5,0.012321,0.148006,3,15.039283,41.3684,2,64.847162,0.491577,4,0.011434,2.779451,1,82.767688,2.243114,4,4.601822,5.252522,3,81.072319,3.823806,6,92.747749,0.461892,4,27.100128,2.870562,1,0.056083,0.449175,5,50.715999,6.088375,3,3.331448,3.141743,4,5.049896,0.144446,4,15.609163,0.601975,4,0.050752,7.727762,2,52.419996,1.764569,6,22.857736,3.118491,1,49.520241,4.761383,4,28.715476,7.629251,6,41.025184,3.175691,1,0.02664,2.823585,6,0.015021,3.849721,3,0.013607,3.073414,6,64.219693,5.792199,5,0.011006,0.134947,1,0.011121,2.436674,6,56.55831,49.396177,2,84.214436,2.811774,5,0.010054,16.474877,6,36.412406,6.943331,2,47.280269,4.455104,4,75.310509,5.958177,4,4.108866,1.557085,5,77.560512,7.595697,3,64.509113,3.326726,5,0.031012,6.188357,4,84.905025,0.292522,4,2.30068,6.641434,2,28.323424,1.609087,4,0.051583,9.025585,4,39.477847,0.881884,5,63.636382,0.442605,6,14.921868,1.774362,3,25.829384,0.786227,1,44.136624,4.607411,5,25.619371,5.587425,6,15.468214,3.768422,3,0.011305,13.114977,4,72.105398,2.179128,5,0.010847,2.888063,5,0.024451,1.590824,1,0.016959,1.632488,6,25.435628,0.237817,5,46.715636,0.21449,3,40.635872,3.452523,6,68.558654
"7580",7580,5,72.804749,29.55874,5668.439957,765.133438,14.455299,706.986781,386.871049,8642.093997,64.639288,50.347234,699.194484,30.234916,80.458649,18.530341,991.591678,99.555727,7.452518,0.267607,0.608881,0.990807,0.276494,0.100616,0.459036,0.993697,0.633393,0.950935,0.601539,0.595728,0.283896,0.506302,0.973602,0.198444,0.285299,0.483916,2.988124,2,0.077938,16.718566,3,38.233524,0.968305,4,0.010111,3.170028,4,77.804333,0.908811,1,0.039315,4.40934,2,0.012195,0.310707,3,0.040916,1.943229,5,22.33904,8.169894,3,0.012138,2.452763,5,37.259068,10.394595,2,28.296345,1.713321,1,0.017806,1.546755,5,68.532056,0.658515,1,75.468777,2.345688,1,75.37674,1.655477,3,81.28491,1.453,4,48.668608,3.170064,4,0.017945,2.387073,3,58.215349,1.871281,5,62.061792,4.90215,6,69.837873,0.73131,4,3.71995,1.066942,6,0.029247,38.290808,6,82.230058,4.427827,3,23.22857,5.571375,1,64.501237,1.937877,6,27.043499,13.408919,3,71.782575,2.331512,3,0.063043,1.292792,5,0.012257,4.806966,1,0.019033,6.597058,5,42.875833,4.458798,2,0.042527,1.655665,3,0.015652,1.746834,5,53.16556,42.445409,3,80.580083,3.723937,6,0.034499,12.671348,1,75.154468,5.087315,4,84.151998,4.492277,3,56.463268,2.330666,3,40.647376,2.622758,1,91.388521,8.159337,5,50.636904,3.606168,5,0.161177,0.727112,4,95.307588,0.842501,2,30.598078,14.485643,5,94.156263,2.839921,4,0.046771,3.26925,4,94.29524,0.582808,5,8.838825,7.071427,4,25.786395,0.48741,4,39.116009,0.72301,2,72.875443,17.424753,2,36.578976,5.042751,6,86.280512,0.896009,1,0.010694,11.262377,1,46.810757,1.782635,1,0.016399,2.46472,5,0.020526,0.970372,6,0.013283,3.790248,2,95.071302,1.714343,4,20.627331,0.582878,6,34.917903,0.07399,4,73.268642
